algorithm,算法
architecture,架构
implementation,实现
framework,框架
infrastructure,基础设施
component,组件
module,模块
interface,接口
abstraction,抽象
encapsulation,封装
inheritance,继承
polymorphism,多态
dependency,依赖
coupling,耦合
cohesion,内聚
paradigm,范式
methodology,方法论
specification,规范
protocol,协议
standard,标准
convention,约定
pattern,模式
principle,原则
practice,实践
workflow,工作流
pipeline,流水线
ecosystem,生态系统
toolchain,工具链
repository,仓库
artifact,构建产物
implement,实现
deploy,部署
configure,配置
initialize,初始化
instantiate,实例化
invoke,调用
execute,执行
compile,编译
build,构建
package,打包
release,发布
rollback,回滚
migrate,迁移
refactor,重构
optimize,优化
scale,扩展
monitor,监控
debug,调试
troubleshoot,排查故障
profile,性能分析
benchmark,基准测试
validate,验证
sanitize,清理
serialize,序列化
deserialize,反序列化
parse,解析
format,格式化
transform,转换
encrypt,加密
decrypt,解密
available,可用的
unavailable,不可用的
stable,稳定的
unstable,不稳定的
reliable,可靠的
unreliable,不可靠的
consistent,一致的
inconsistent,不一致的
scalable,可扩展的
maintainable,可维护的
robust,健壮的
resilient,有韧性的
fault-tolerant,容错的
idempotent,幂等的
atomic,原子的
synchronous,同步的
asynchronous,异步的
blocking,阻塞的
non-blocking,非阻塞的
stateful,有状态的
stateless,无状态的
mutable,可变的
immutable,不可变的
volatile,易失的
persistent,持久的
transient,瞬态的
concurrent,并发的
parallel,并行的
sequential,顺序的
deterministic,确定的
non-deterministic,不确定的
lazy,懒加载的
eager,饿加载的
dynamic,动态的
static,静态的
distributed,分布式的
centralized,集中式的
decentralized,去中心化的
monolithic,单体的
modular,模块化的
class,类
object,对象
instance,实例
method,方法
variable,变量
field,字段
constructor,构造函数
destructor,析构函数
parameter,参数
argument,实参
return,返回
void,空
final,最终
abstract,抽象
extends,继承
implements,实现
override,重写
overload,重载
annotation,注解
generic,泛型
wildcard,通配符
enum,枚举
import,导入
public,公共
private,私有
protected,受保护
default,默认
synchronized,同步
native,本地
throws,抛出
try-catch,尝试捕获
finally,最终
assert,断言
lambda,Lambda表达式
stream,流
primitive,基本类型
reference,引用类型
integer,整数
long,长整型
short,短整型
byte,字节
float,浮点
double,双精度
boolean,布尔
char,字符
string,字符串
array,数组
list,列表
set,集合
map,映射
collection,集合
iterator,迭代器
comparable,可比较
comparator,比较器
optional,可选
wrapper,包装类
autoboxing,自动装箱
unboxing,自动拆箱
casting,类型转换
conversion,转换
coercion,强制转换
literal,字面量
constant,常量
null,空
undefined,未定义
pointer,指针
heap,堆
stack,栈
garbage,垃圾
allocation,分配
deallocation,释放
leak,泄漏
overflow,溢出
underflow,下溢
corruption,损坏
object-oriented,面向对象
functional,函数式
procedural,过程式
declarative,声明式
imperative,命令式
reactive,响应式
aspect-oriented,面向切面
event-driven,事件驱动
immutability,不可变性
recursion,递归
iteration,迭代
closure,闭包
callback,回调
promise,Promise
future,Future
delegate,委托
reflection,反射
introspection,内省
meta-programming,元编程
duck-typing,鸭子类型
strong-typing,强类型
weak-typing,弱类型
type-inference,类型推断
covariance,协变
contravariance,逆变
invariance,不变
side-effect,副作用
pure-function,纯函数
higher-order,高阶
first-class,一等公民
currying,柯里化
partial-application,部分应用
composition,组合
memoization,记忆化
lazy-evaluation,惰性求值
eager-evaluation,饿汉求值
pattern-matching,模式匹配
destructuring,解构
spread-operator,展开运算符
rest-parameter,剩余参数
linked-list,链表
queue,队列
deque,双端队列
priority-queue,优先队列
tree,树
binary-tree,二叉树
balanced-tree,平衡树
red-black-tree,红黑树
AVL-tree,AVL树
B-tree,B树
trie,字典树
graph,图
vertex,顶点
edge,边
node,节点
leaf,叶子节点
root,根节点
parent,父节点
child,子节点
sibling,兄弟节点
ancestor,祖先节点
descendant,后代节点
depth,深度
height,高度
level,层级
degree,度
path,路径
sorting,排序
searching,搜索
traversal,遍历
divide-conquer,分治
dynamic-programming,动态规划
greedy,贪心
backtracking,回溯
brute-force,暴力
heuristic,启发式
pruning,剪枝
sliding-window,滑动窗口
two-pointer,双指针
prefix-sum,前缀和
bit-manipulation,位操作
union-find,并查集
topological-sort,拓扑排序
shortest-path,最短路径
minimum-spanning-tree,最小生成树
depth-first,深度优先
breadth-first,广度优先
binary-search,二分查找
hash-table,哈希表
collision,冲突
chaining,链地址法
probing,探测
load-factor,负载因子
rehashing,重哈希
bucket,桶
bloom-filter,布隆过滤器
consistent-hashing,一致性哈希
skip-list,跳表
segment-tree,线段树
complexity,复杂度
time-complexity,时间复杂度
space-complexity,空间复杂度
big-O,大O记号
logarithmic,对数
linear,线性
quadratic,平方
cubic,立方
exponential,指数
factorial,阶乘
polynomial,多项式
amortized,摊还
worst-case,最坏情况
best-case,最好情况
average-case,平均情况
upper-bound,上界
lower-bound,下界
tight-bound,紧界
asymptotic,渐进
optimal,最优
suboptimal,次优
efficient,高效
inefficient,低效
scalability,可扩展性
bottleneck,瓶颈
optimization,优化
trade-off,权衡
overhead,开销
throughput,吞吐量
latency,延迟
bandwidth,带宽
utilization,利用率
saturation,饱和
degradation,降级
process,进程
thread,线程
kernel,内核
system-call,系统调用
interrupt,中断
context-switch,上下文切换
scheduling,调度
scheduler,调度器
priority,优先级
preemption,抢占
time-slice,时间片
deadlock,死锁
starvation,饥饿
race-condition,竞态条件
critical-section,临界区
mutex,互斥锁
semaphore,信号量
spinlock,自旋锁
memory-management,内存管理
virtual-memory,虚拟内存
paging,分页
segmentation,分段
page-fault,缺页错误
swapping,交换
thrashing,颠簸
fragmentation,碎片
file-system,文件系统
inode,索引节点
directory,目录
permission,权限
access-control,访问控制
I/O,输入输出
buffer,缓冲区
cache,缓存
register,寄存器
instruction,指令
bootloader,引导程序
socket,套接字
port,端口
endpoint,端点
request,请求
response,响应
header,头部
body,主体
payload,有效载荷
packet,数据包
frame,帧
segment,段
datagram,数据报
handshake,握手
connection,连接
session,会话
cookie,Cookie
routing,路由
gateway,网关
proxy,代理
firewall,防火墙
load-balancer,负载均衡器
congestion,拥塞
timeout,超时
retry,重试
keepalive,保活
multiplexing,多路复用
streaming,流式传输
chunk,数据块
compression,压缩
resource,资源
route,路由
status-code,状态码
versioning,版本控制
pagination,分页
filtering,过滤
query-parameter,查询参数
path-parameter,路径参数
request-body,请求体
response-body,响应体
content-type,内容类型
accept,接受
authentication,认证
authorization,授权
token,令牌
bearer,持有者
API-key,API密钥
rate-limiting,速率限制
throttling,节流
database,数据库
table,表
row,行
column,列
record,记录
schema,模式
primary-key,主键
foreign-key,外键
index,索引
unique,唯一
constraint,约束
normalization,规范化
denormalization,反规范化
transaction,事务
ACID,ACID特性
atomicity,原子性
consistency,一致性
isolation,隔离性
durability,持久性
commit,提交
savepoint,保存点
lock,锁
pessimistic-lock,悲观锁
optimistic-lock,乐观锁
isolation-level,隔离级别
read-uncommitted,读未提交
read-committed,读已提交
repeatable-read,可重复读
serializable,可串行化
dirty-read,脏读
non-repeatable-read,不可重复读
phantom-read,幻读
query,查询
performance,性能
execution-plan,执行计划
explain,解释
slow-query,慢查询
covering-index,覆盖索引
composite-index,组合索引
full-table-scan,全表扫描
index-scan,索引扫描
cardinality,基数
selectivity,选择性
statistics,统计信息
histogram,直方图
partitioning,分区
sharding,分片
replication,复制
master,主库
slave,从库
read-replica,只读副本
failover,故障转移
backup,备份
restore,恢复
snapshot,快照
archive,归档
purge,清除
vacuum,清理
analyze,分析
defragment,碎片整理
collation,排序规则
charset,字符集
encoding,编码
buffer-pool,缓冲池
redo-log,重做日志
undo-log,撤销日志
binlog,二进制日志
NoSQL,非关系型数据库
document,文档
key-value,键值
column-family,列族
relationship,关系
embedded,嵌入
denormalized,反规范化
eventual-consistency,最终一致性
BASE,BASE理论
basically-available,基本可用
soft-state,软状态
eventually-consistent,最终一致
CAP-theorem,CAP定理
availability,可用性
partition-tolerance,分区容错
replica-set,副本集
shard,分片
hash-based,基于哈希
range-based,基于范围
aggregation,聚合
projection,投影
upsert,插入或更新
bulk,批量
time-to-live,生存时间
expiration,过期
compaction,压缩
rebalancing,重新平衡
cluster,集群
peer,对等节点
leader,领导者
follower,跟随者
replica,副本
consensus,共识
Paxos,Paxos算法
Raft,Raft算法
quorum,法定人数
split-brain,脑裂
partition,分区
failback,故障恢复
circuit-breaker,熔断器
bulkhead,舱壁
backoff,退避
idempotency,幂等性
strong-consistency,强一致性
weak-consistency,弱一致性
causal-consistency,因果一致性
linearizability,线性一致性
serializability,可串行化
two-phase-commit,两阶段提交
three-phase-commit,三阶段提交
SAGA,Saga模式
compensation,补偿
orchestration,编排
choreography,协同
distributed-storage,分布式存储
object-storage,对象存储
block-storage,块存储
file-storage,文件存储
consistency-hash,一致性哈希
virtual-node,虚拟节点
gossip-protocol,Gossip协议
vector-clock,向量时钟
version-vector,版本向量
merkle-tree,默克尔树
write-ahead-log,预写日志
commit-log,提交日志
memtable,内存表
tombstone,墓碑标记
anti-entropy,反熵
read-repair,读修复
hinted-handoff,暗示移交
sloppy-quorum,宽松法定人数
erasure-coding,纠删码
replication-factor,复制因子
rack-awareness,机架感知
data-locality,数据本地性
hotspot,热点
cold-storage,冷存储
tiering,分层
deduplication,去重
mapper,映射器
reducer,归约器
combiner,合并器
partitioner,分区器
shuffle,洗牌
sort,排序
merge,合并
broadcast,广播
stage,阶段
task,任务
executor,执行器
driver,驱动器
worker,工作节点
batch,批处理
micro-batch,微批处理
window,窗口
tumbling-window,滚动窗口
session-window,会话窗口
watermark,水印
checkpoint,检查点
state,状态
exactly-once,恰好一次
at-least-once,至少一次
microservice,微服务
monolith,单体
service,服务
domain,领域
bounded-context,限界上下文
domain-driven,领域驱动
aggregate,聚合
entity,实体
value-object,值对象
API-gateway,API网关
service-mesh,服务网格
sidecar,边车
service-discovery,服务发现
service-registry,服务注册
health-check,健康检查
heartbeat,心跳
load-balancing,负载均衡
round-robin,轮询
least-connections,最少连接
weighted,加权
sticky-session,粘性会话
fallback,降级
graceful-degradation,优雅降级
API-versioning,API版本控制
backward-compatibility,向后兼容
contract,契约
consumer-driven,消费者驱动
stub,存根
mock,模拟
canary-deployment,金丝雀部署
blue-green,蓝绿部署
rolling-update,滚动更新
feature-flag,特性开关
RPC,远程过程调用
GraphQL,GraphQL
gRPC,gRPC
protocol-buffer,协议缓冲
Thrift,Thrift
message-queue,消息队列
pub-sub,发布订阅
point-to-point,点对点
request-reply,请求响应
fire-and-forget,即发即弃
acknowledgment,确认
at-most-once,至多一次
dead-letter,死信
poison-message,毒药消息
backpressure,背压
flow-control,流量控制
correlation-id,关联ID
tracing,追踪
span,跨度
baggage,行李
sampling,采样
instrumentation,埋点
observability,可观测性
telemetry,遥测
metrics,指标
database-per-service,每服务一库
shared-database,共享数据库
data-ownership,数据所有权
compensating-transaction,补偿事务
event-sourcing,事件溯源
event-store,事件存储
CQRS,命令查询分离
command,命令
read-model,读模型
write-model,写模型
materialized-view,物化视图
change-data-capture,变更数据捕获
outbox-pattern,发件箱模式
inbox-pattern,收件箱模式
dual-write,双写
data-replication,数据复制
cache-aside,旁路缓存
write-through,写穿
write-behind,写回
cache-stampede,缓存击穿
cache-penetration,缓存穿透
cache-avalanche,缓存雪崩
producer,生产者
consumer,消费者
broker,代理
topic,主题
exchange,交换机
routing-key,路由键
binding,绑定
publish,发布
subscribe,订阅
push,推送
pull,拉取
offset,偏移量
auto-commit,自动提交
manual-commit,手动提交
positive-ack,正向确认
negative-ack,负向确认
requeue,重新入队
ordering,顺序
FIFO,先进先出
delay,延迟
scheduled,定时
retention,保留
Kafka,Kafka
Zookeeper,Zookeeper
ISR,同步副本集
log-segment,日志段
consumer-group,消费者组
rebalance,重平衡
coordinator,协调器
partition-key,分区键
Kafka-Connect,Kafka连接器
Kafka-Streams,Kafka流
KTable,KTable
KStream,KStream
changelog,变更日志
state-store,状态存储
windowing,窗口化
vhost,虚拟主机
durable,持久化
exclusive,独占
auto-delete,自动删除
prefetch,预取
publisher-confirm,发布者确认
mandatory,强制
immediate,立即
alternate-exchange,备用交换机
shovel,铲子插件
federation,联邦
Redis,Redis
in-memory,内存
sorted-set,有序集合
hash,哈希
bitmap,位图
hyperloglog,HyperLogLog
geospatial,地理空间
Lua-script,Lua脚本
persistence,持久化
rewrite,重写
sentinel,哨兵
slot,槽
resharding,重分片
eviction,驱逐
maxmemory,最大内存
distributed-lock,分布式锁
Redlock,Redlock算法
read-through,读穿
write-around,绕写
cache-warming,缓存预热
lazy-loading,懒加载
eager-loading,饿加载
cache-hit,缓存命中
cache-miss,缓存未命中
hit-rate,命中率
miss-rate,未命中率
cold-start,冷启动
cache-breakdown,缓存击穿
null-cache,空值缓存
hotkey,热点键
big-key,大键
invalidation,失效
refresh,刷新
staleness,过时性
freshness,新鲜度
coherence,一致性
synchronization,同步
double-delete,双删
delayed-delete,延迟删除
multi-level,多级
local-cache,本地缓存
distributed-cache,分布式缓存
cache-hierarchy,缓存层次
tiered-cache,分层缓存
concurrency,并发
parallelism,并行
multithreading,多线程
multiprocessing,多进程
thread-pool,线程池
daemon,守护线程
runnable,可运行
callable,可调用
completable-future,可完成Future
fork-join,分叉合并
work-stealing,工作窃取
lifecycle,生命周期
NEW,新建
BLOCKED,阻塞
WAITING,等待
TIMED_WAITING,超时等待
TERMINATED,终止
start,启动
run,运行
sleep,睡眠
yield,让步
interrupted,中断状态
preemptive,抢占式
cooperative,协作式
CPU-bound,CPU密集
I/O-bound,I/O密集
thread-local,线程本地
inheritable,可继承
unlock,解锁
intrinsic-lock,内置锁
reentrant,可重入
non-reentrant,不可重入
fair-lock,公平锁
unfair-lock,非公平锁
exclusive-lock,独占锁
shared-lock,共享锁
read-lock,读锁
write-lock,写锁
read-write-lock,读写锁
tryLock,尝试锁
lockInterruptibly,可中断锁
condition,条件
wait,等待
notify,通知
notifyAll,通知全部
await,等待
signal,信号
signalAll,信号全部
permit,许可
acquire,获取
barrier,屏障
latch,闩锁
countdown,倒计数
phaser,阶段器
exchanger,交换器
LockSupport,锁支持
park,停靠
unpark,唤醒
data-race,数据竞争
livelock,活锁
priority-inversion,优先级反转
contention,争用
mutual-exclusion,互斥
atomic-operation,原子操作
visibility,可见性
reordering,重排序
happens-before,先行发生
memory-barrier,内存屏障
fence,栅栏
volatile-read,易失读
volatile-write,易失写
final-field,Final字段
safe-publication,安全发布
thread-safe,线程安全
thread-unsafe,线程不安全
lock-free,无锁
wait-free,无等待
atomic-variable,原子变量
atomic-reference,原子引用
atomic-array,原子数组
field-updater,字段更新器
lazy-initialization,懒初始化
double-checked-locking,双重检查锁
singleton,单例
thread-confinement,线程限制
stack-confinement,栈限制
thread-safety,线程安全性
composability,可组合性
bytecode,字节码
classloader,类加载器
bootstrap-loader,引导类加载器
extension-loader,扩展类加载器
application-loader,应用类加载器
parent-delegation,双亲委派
metaspace,元空间
PermGen,永久代
young-generation,年轻代
old-generation,老年代
garbage-collection,垃圾回收
generational,分代
reachability,可达性
mark-sweep,标记清除
mark-compact,标记整理
copying,复制
reference-counting,引用计数
weak-reference,弱引用
soft-reference,软引用
phantom-reference,虚引用
strong-reference,强引用
finalization,终结
finalize,终结方法
concurrent-mark,并发标记
central,中央仓库
scope,作用域
runtime,运行时
provided,已提供
test,测试
transitive,传递
exclusion,排除
plugin,插件
goal,目标
phase,阶段
clean,清理
install,安装
classpath,类路径
manifest,清单
shade,遮蔽
assembly,组装
property,属性
multi-module,多模块
parent-POM,父POM
version,版本
mapping,映射
cascade,级联
fetch,抓取
criteria,条件
native-query,原生查询
named-query,命名查询
first-level,一级
second-level,二级
query-cache,查询缓存
dirty-check,脏检查
flush,刷新
detached,分离
persist,持久化
remove,移除
find,查找
interceptor,拦截器
listener,监听器
validator,验证器
Spring,Spring框架
IoC,控制反转
DI,依赖注入
bean,Bean
container,容器
autowire,自动装配
inject,注入
qualifier,限定符
primary,首选
prototype,原型
controller,控制器
configuration,配置
bean-definition,Bean定义
init-method,初始化方法
destroy-method,销毁方法
post-construct,构造后
pre-destroy,销毁前
lazy-init,懒初始化
depends-on,依赖于
factory-bean,工厂Bean
factory-method,工厂方法
lookup-method,查找方法
replaced-method,替换方法
value,值
placeholder,占位符
conditional,条件
component-scan,组件扫描
base-package,基础包
filter,过滤器
include-filter,包含过滤器
exclude-filter,排除过滤器
properties,属性文件
YAML,YAML
environment,环境
aspect,切面
join-point,连接点
pointcut,切点
advice,通知
before,前置
after,后置
after-returning,返回后
after-throwing,抛出后
around,环绕
weaving,织入
target,目标对象
introduction,引入
declare-parents,声明父类
auto-configuration,自动配置
starter,启动器
dependency-management,依赖管理
application.properties,应用配置
application.yml,应用配置
active-profile,激活配置
externalized-configuration,外部化配置
command-line,命令行
environment-variable,环境变量
actuator,执行器
health,健康检查
info,信息
env,环境
beans,Bean列表
mappings,映射
loggers,日志器
threaddump,线程转储
heapdump,堆转储
embedded-server,内嵌服务器
executable-jar,可执行JAR
devtools,开发工具
hot-reload,热重载
banner,横幅
layered,分层
hexagonal,六边形
clean-architecture,整洁架构
onion-architecture,洋葱架构
serverless,无服务器
FaaS,函数即服务
BaaS,后端即服务
pipe-filter,管道过滤器
blackboard,黑板
peer-to-peer,对等
client-server,客户端服务器
three-tier,三层
n-tier,N层
presentation,表示层
business,业务层
data-access,数据访问层
anti-corruption,防腐层
adapter,适配器
separation-of-concerns,关注点分离
loose-coupling,松耦合
high-cohesion,高内聚
composition-over-inheritance,组合优于继承
program-to-interface,面向接口编程
dependency-injection,依赖注入
inversion-of-control,控制反转
law-of-Demeter,迪米特法则
tell-dont-ask,告诉不要问
fail-fast,快速失败
defensive-programming,防御式编程
convention-over-configuration,约定优于配置
least-privilege,最小权限
defense-in-depth,纵深防御
single-source-of-truth,单一数据源
statelessness,无状态性
high-availability,高可用
redundancy,冗余
fault-tolerance,容错
resilience,弹性
disaster-recovery,灾难恢复
hot-standby,热备份
cold-standby,冷备份
warm-standby,温备份
active-active,双活
active-passive,主备
multi-region,多区域
geo-redundancy,地理冗余
horizontal-scaling,水平扩展
vertical-scaling,垂直扩展
elasticity,弹性
auto-scaling,自动扩展
scale-out,横向扩展
scale-up,纵向扩展
capacity-planning,容量规划
load-shedding,负载削减
jitter,抖动
exponential-backoff,指数退避
response-time,响应时间
CPU-utilization,CPU利用率
memory-usage,内存使用
disk-I/O,磁盘I/O
network-bandwidth,网络带宽
IOPS,每秒I/O操作数
percentile,百分位
average,平均值
median,中位数
variance,方差
standard-deviation,标准差
uptime,正常运行时间
downtime,停机时间
reliability,可靠性
error-rate,错误率
success-rate,成功率
retry-rate,重试率
timeout-rate,超时率
connection-pool,连接池
profiling,性能分析
benchmarking,基准测试
caching,缓存
prefetching,预取
preloading,预加载
minification,最小化
bundling,打包
batching,批处理
debouncing,防抖
pooling,池化
connection-reuse,连接复用
keep-alive,保持连接
pipelining,流水线
parallel-processing,并行处理
indexing,索引
write-buffer,写缓冲
memory-mapping,内存映射
zero-copy,零拷贝
CDN,内容分发网络
edge-caching,边缘缓存
static-content,静态内容
dynamic-content,动态内容
resource-pooling,资源池化
object-pooling,对象池
pause-time,暂停时间
footprint,内存占用
survivor-ratio,幸存区比例
tenuring-threshold,晋升阈值
parallel-threads,并行线程数
concurrent-threads,并发线程数
heap-dump,堆转储
thread-dump,线程转储
JIT-compilation,JIT编译
code-cache,代码缓存
Docker,Docker
image,镜像
layer,层
base-image,基础镜像
tag,标签
registry,镜像仓库
stop,停止
restart,重启
exec,执行
logs,日志
inspect,检查
volume,卷
mount,挂载
bind-mount,绑定挂载
network,网络
bridge,桥接
host,主机
overlay,覆盖
port-mapping,端口映射
expose,暴露
entrypoint,入口点
multi-stage,多阶段
docker-compose,Docker Compose
swarm,集群
K8s,K8s
control-plane,控制平面
pod,Pod
deployment,部署
namespace,命名空间
label,标签
selector,选择器
resource-quota,资源配额
limit-range,限制范围
liveness-probe,存活探针
readiness-probe,就绪探针
startup-probe,启动探针
CI/CD,持续集成/持续部署
continuous-integration,持续集成
continuous-delivery,持续交付
continuous-deployment,持续部署
trigger,触发器
webhook,Webhook
poll,轮询
agent,代理
runner,运行器
workspace,工作空间
checkout,检出
unit-test,单元测试
integration-test,集成测试
code-coverage,代码覆盖率
static-analysis,静态分析
SonarQube,SonarQube
agile,敏捷
scrum,Scrum
sprint,冲刺
retrospective,回顾会议
standup,站会
backlog,待办事项
user-story,用户故事
epic,史诗
velocity,速度
burndown,燃尽图
kanban,看板
increment,增量
stakeholder,利益相关者
product-owner,产品负责人
scrum-master,Scrum大师
definition-of-done,完成定义
acceptance-criteria,验收标准
planning-poker,计划扑克
story-point,故事点
code-review,代码审查
pull-request,拉取请求
merge-request,合并请求
pair-programming,结对编程
mob-programming,群组编程
technical-debt,技术债务
refactoring,重构
clean-code,整洁代码
code-smell,代码异味
lint,代码检查
linter,检查工具
formatter,格式化工具
duplication,重复
maintainability,可维护性
readability,可读性
testability,可测试性
documentation,文档
version-control,版本控制
branching-strategy,分支策略
git-flow,Git流程
trunk-based,主干开发
feature-branch,功能分支
release-branch,发布分支
hotfix,热修复
cherry-pick,精选
rebase,变基
squash,压缩
semantic-versioning,语义化版本
release-notes,发布说明
breaking-change,破坏性变更
deprecation,弃用
migration-guide,迁移指南
milestone,里程碑
deliverable,交付物
deadline,截止日期
scope-creep,范围蔓延
estimation,估算
capacity,产能
blocker,阻塞
risk,风险
mitigation,缓解
post-mortem,事后分析
root-cause-analysis,根因分析
lessons-learned,经验教训
handoff,交接
onboarding,入职培训
knowledge-transfer,知识转移
stakeholder-meeting,干系人会议
status-update,状态更新
end-to-end,端到端测试
system-test,系统测试
acceptance-test,验收测试
regression-test,回归测试
smoke-test,冒烟测试
sanity-test,健全性测试
performance-test,性能测试
load-test,负载测试
stress-test,压力测试
penetration-test,渗透测试
security-test,安全测试
usability-test,可用性测试
compatibility-test,兼容性测试
exploratory-test,探索性测试
A/B-test,A/B测试
canary-test,金丝雀测试
mutation-test,变异测试
fuzz-test,模糊测试
spy,间谍
fake,伪造
dummy,哑元
fixture,测试夹具
setup,设置
teardown,清理
assertion,断言
matcher,匹配器
test-double,测试替身
test-coverage,测试覆盖率
line-coverage,行覆盖率
branch-coverage,分支覆盖率
path-coverage,路径覆盖率
mutation-coverage,变异覆盖率
test-pyramid,测试金字塔
test-suite,测试套件
test-case,测试用例
red-green-refactor,红绿重构
given-when-then,给定当则
arrange-act-assert,准备执行断言
test-first,测试优先
boundary-value,边界值
equivalence-partitioning,等价类划分
edge-case,边界情况
corner-case,极端情况
happy-path,正常路径
negative-test,负面测试
positive-test,正面测试
property-based,基于属性
snapshot-test,快照测试
visual-regression,视觉回归
contract-test,契约测试
pact,契约
passing,通过
failing,失败
flaky,不稳定
skipped,跳过
pending,待定
quarantined,隔离
broken,损坏
intermittent,间歇性
reproducible,可重现
non-reproducible,不可重现
assertion-error,断言错误
test-failure,测试失败
build-failure,构建失败
test-runner,测试运行器
test-framework,测试框架
mocking-framework,模拟框架
assertion-library,断言库
test-harness,测试工具
continuous-testing,持续测试
test-automation,测试自动化
test-data,测试数据
test-environment,测试环境
test-report,测试报告
refresh-token,刷新令牌
bearer-token,持有者令牌
basic-auth,基本认证
digest-auth,摘要认证
multifactor,多因素
two-factor,两因素
biometric,生物识别
privilege,特权
claim,声明
principal,主体
credential,凭证
identity,身份
SQL-injection,SQL注入
command-injection,命令注入
code-injection,代码注入
path-traversal,路径遍历
DDoS,分布式拒绝
man-in-the-middle,中间人攻击
session-hijacking,会话劫持
replay-attack,重放攻击
phishing,钓鱼
spoofing,欺骗
buffer-overflow,缓冲区溢出
privilege-escalation,权限提升
zero-day,零日漏洞
malware,恶意软件
ransomware,勒索软件
backdoor,后门
rootkit,根工具包
encryption,加密
decryption,解密
hashing,哈希
salting,加盐
certificate,证书
public-key,公钥
private-key,私钥
symmetric,对称
asymmetric,非对称
signature,签名
sanitization,净化
validation,验证
whitelist,白名单
blacklist,黑名单
intrusion-detection,入侵检测
security-audit,安全审计
penetration-testing,渗透测试
vulnerability-scan,漏洞扫描
vulnerability,漏洞
exploit,利用
threat,威胁
attack-surface,攻击面
security-by-design,安全设计
zero-trust,零信任
compliance,合规
data-breach,数据泄露
incident-response,事件响应
forensics,取证
hardening,加固
patching,补丁
disclosure,披露
bug-bounty,漏洞赏金
clarify,澄清
clarification,澄清
assumption,假设
requirement,需求
ambiguous,模糊的
clarify-the-scope,明确范围
in-terms-of,就...而言
with-regard-to,关于
speaking-of,说到
rephrase,重新表述
to-be-specific,具体来说
in-other-words,换句话说
approach,方法
strategy,策略
walk-through,讲解
step-by-step,逐步
dive-into,深入
break-down,分解
high-level,高层次
at-a-high-level,概括地说
drill-down,深入探讨
zoom-in,放大
zoom-out,缩小
big-picture,全局
bottom-up,自下而上
top-down,自上而下
iterative,迭代的
incremental,增量的
pros-and-cons,优缺点
advantage,优势
disadvantage,劣势
benefit,好处
drawback,缺点
downside,不利方面
upside,有利方面
on-the-other-hand,另一方面
alternatively,或者
whereas,然而
in-contrast,相比之下
comparatively,相对地
relatively,相对地
for-example,例如
for-instance,例如
such-as,比如
like,像
suppose,假设
imagine,想象
consider,考虑
take-for-example,以...为例
to-illustrate,举例说明
as-an-illustration,作为例证
concrete-example,具体例子
make-sense,有道理
follow,理解
clear,清楚
understand,理解
got-it,明白了
see-what-I-mean,明白我的意思
if-I-understand-correctly,如果我理解正确
just-to-confirm,确认一下
to-make-sure,确保
in-my-opinion,在我看来
I-think,我认为
I-believe,我相信
I-would-say,我会说
from-my-perspective,从我的角度
from-my-experience,根据我的经验
based-on-my-understanding,基于我的理解
it-seems-to-me,在我看来
the-way-I-see-it,我认为
good-question,好问题
interesting-point,有趣的观点
let-me-think,让我想想
give-me-a-moment,给我一会儿
I'm-not-sure,我不确定
I-don't-know,我不知道
good-catch,发现得好
you're-right,你是对的
that's-correct,那是正确的
exactly,正是
in-summary,总之
to-summarize,总结一下
in-conclusion,总之
all-in-all,总的来说
overall,总体而言
basically,基本上
essentially,本质上
fundamentally,从根本上
at-the-end-of-the-day,归根结底
the-key-point,关键点
the-main-takeaway,主要收获
first-of-all,首先
to-start-with,首先
initially,最初
then,然后
next,接下来
after-that,之后
following-that,接着
subsequently,随后
eventually,最终
in-the-meantime,与此同时
meanwhile,同时
at-the-same-time,同时
moving-forward,继续前进
going-forward,未来