English,中文
algorithm,算法
architecture,架构
implementation,实现
framework,框架
infrastructure,基础设施
component,组件
module,模块
interface,接口
dependency,依赖
coupling,耦合
cohesion,内聚
abstraction,抽象
specification,规范
protocol,协议
standard,标准
convention,约定
pattern,模式
principle,原则
methodology,方法论
paradigm,范式
ecosystem,生态系统
repository,仓库
artifact,构建产物
class,类
object,对象
instance,实例
encapsulation,封装
inheritance,继承
polymorphism,多态
method,方法
field,字段
constructor,构造函数
destructor,析构函数
override,重写
overload,重载
public,公共
private,私有
protected,受保护
abstract,抽象
final,最终
static,静态
extends,继承
implements,实现
annotation,注解
generic,泛型
wildcard,通配符
enum,枚举
lambda,Lambda表达式
stream,流
optional,可选
functional-interface,函数式接口
method-reference,方法引用
primitive,基本类型
reference,引用类型
autoboxing,自动装箱
unboxing,自动拆箱
immutable,不可变
mutable,可变
serialization,序列化
deserialization,反序列化
reflection,反射
proxy,代理
wrapper,包装类
collection,集合
list,列表
set,集合
map,映射
array,数组
ArrayList,ArrayList
LinkedList,LinkedList
HashMap,HashMap
TreeMap,TreeMap
HashSet,HashSet
TreeSet,TreeSet
iterator,迭代器
comparable,可比较
comparator,比较器
linked-list,链表
stack,栈
queue,队列
deque,双端队列
priority-queue,优先队列
tree,树
binary-tree,二叉树
balanced-tree,平衡树
red-black-tree,红黑树
AVL-tree,AVL树
B-tree,B树
B+tree,B+树
trie,字典树
graph,图
vertex,顶点
edge,边
node,节点
leaf,叶子节点
root,根节点
parent,父节点
child,子节点
depth,深度
height,高度
hash-table,哈希表
collision,冲突
heap,堆
min-heap,最小堆
max-heap,最大堆
sorting,排序
searching,搜索
traversal,遍历
binary-search,二分查找
linear-search,线性查找
bubble-sort,冒泡排序
quick-sort,快速排序
merge-sort,归并排序
heap-sort,堆排序
divide-conquer,分治
dynamic-programming,动态规划
greedy,贪心
backtracking,回溯
brute-force,暴力
depth-first,深度优先
breadth-first,广度优先
DFS,深度优先搜索
BFS,广度优先搜索
sliding-window,滑动窗口
two-pointer,双指针
prefix-sum,前缀和
bit-manipulation,位操作
topological-sort,拓扑排序
shortest-path,最短路径
Dijkstra,Dijkstra算法
minimum-spanning-tree,最小生成树
union-find,并查集
concurrency,并发
parallelism,并行
thread,线程
process,进程
multithreading,多线程
multiprocessing,多进程
thread-pool,线程池
executor,执行器
runnable,可运行
callable,可调用
future,Future
completable-future,CompletableFuture
fork-join,分叉合并
work-stealing,工作窃取
synchronization,同步
synchronized,同步
volatile,易失的
atomic,原子
CAS,比较并交换
lock,锁
mutex,互斥锁
semaphore,信号量
reentrant,可重入
fair-lock,公平锁
unfair-lock,非公平锁
read-write-lock,读写锁
read-lock,读锁
write-lock,写锁
spinlock,自旋锁
deadlock,死锁
livelock,活锁
starvation,饥饿
race-condition,竞态条件
critical-section,临界区
thread-safe,线程安全
thread-local,线程本地
daemon,守护线程
wait,等待
notify,通知
notifyAll,通知全部
condition,条件
await,等待
signal,信号
BLOCKED,阻塞
WAITING,等待
RUNNABLE,可运行
TERMINATED,终止
JVM,Java虚拟机
bytecode,字节码
JIT,即时编译
AOT,提前编译
classloader,类加载器
parent-delegation,双亲委派
heap,堆
stack,栈
metaspace,元空间
PermGen,永久代
young-generation,年轻代
old-generation,老年代
Eden,伊甸园
Survivor,幸存者
garbage-collection,垃圾回收
GC,垃圾回收
minor-GC,Minor GC
major-GC,Major GC
full-GC,Full GC
STW,Stop-The-World
mark-sweep,标记清除
mark-compact,标记整理
copying,复制
generational,分代
reference-counting,引用计数
strong-reference,强引用
soft-reference,软引用
weak-reference,弱引用
phantom-reference,虚引用
finalization,终结
Serial-GC,Serial GC
Parallel-GC,Parallel GC
CMS,CMS收集器
G1,G1收集器
ZGC,ZGC收集器
Shenandoah,Shenandoah
heap-dump,堆转储
thread-dump,线程转储
OOM,内存溢出
memory-leak,内存泄漏
Spring,Spring框架
Spring-Boot,Spring Boot
Spring-Cloud,Spring Cloud
bean,Bean
IOC,控制反转
DI,依赖注入
AOP,面向切面编程
singleton,单例
prototype,原型
request,请求作用域
session,会话作用域
autowire,自动装配
inject,注入
qualifier,限定符
primary,首选
lazy,懒加载
scope,作用域
component,组件
controller,控制器
service,服务
repository,仓库
configuration,配置
aspect,切面
pointcut,切点
advice,通知
before,前置通知
after,后置通知
around,环绕通知
after-returning,返回后通知
after-throwing,异常通知
join-point,连接点
weaving,织入
proxy,代理
JDK-proxy,JDK动态代理
CGLIB,CGLIB代理
transaction,事务
propagation,传播行为
isolation,隔离级别
rollback,回滚
commit,提交
auto-configuration,自动配置
starter,启动器
actuator,监控器
profile,配置文件
properties,属性文件
YAML,YAML配置
database,数据库
RDBMS,关系数据库
NoSQL,非关系数据库
table,表
row,行
column,列
record,记录
schema,模式
primary-key,主键
foreign-key,外键
unique-key,唯一键
index,索引
clustered-index,聚集索引
non-clustered-index,非聚集索引
composite-index,复合索引
covering-index,覆盖索引
unique,唯一
constraint,约束
normalization,规范化
denormalization,反规范化
transaction,事务
ACID,ACID特性
atomicity,原子性
consistency,一致性
isolation,隔离性
durability,持久性
commit,提交
rollback,回滚
savepoint,保存点
lock,锁
table-lock,表锁
row-lock,行锁
pessimistic-lock,悲观锁
optimistic-lock,乐观锁
shared-lock,共享锁
exclusive-lock,排他锁
isolation-level,隔离级别
read-uncommitted,读未提交
read-committed,读已提交
repeatable-read,可重复读
serializable,可串行化
dirty-read,脏读
non-repeatable-read,不可重复读
phantom-read,幻读
MVCC,多版本并发控制
query,查询
SELECT,查询
INSERT,插入
UPDATE,更新
DELETE,删除
JOIN,连接
INNER-JOIN,内连接
LEFT-JOIN,左连接
RIGHT-JOIN,右连接
FULL-JOIN,全连接
WHERE,条件
GROUP-BY,分组
HAVING,分组条件
ORDER-BY,排序
LIMIT,限制
OFFSET,偏移
execution-plan,执行计划
explain,执行计划分析
slow-query,慢查询
query-optimization,查询优化
sharding,分片
partitioning,分区
replication,复制
master-slave,主从
master-master,双主
read-replica,只读副本
binlog,二进制日志
redo-log,重做日志
undo-log,撤销日志
distributed-system,分布式系统
cluster,集群
node,节点
peer,对等节点
leader,领导者
follower,跟随者
replica,副本
replication,复制
partition,分区
sharding,分片
consensus,共识
Paxos,Paxos算法
Raft,Raft算法
quorum,法定人数
split-brain,脑裂
failover,故障转移
failback,故障恢复
high-availability,高可用
HA,高可用
redundancy,冗余
fault-tolerance,容错
resilience,弹性
circuit-breaker,熔断器
bulkhead,舱壁
retry,重试
backoff,退避
exponential-backoff,指数退避
timeout,超时
idempotency,幂等性
idempotent,幂等的
consistency,一致性
strong-consistency,强一致性
eventual-consistency,最终一致性
weak-consistency,弱一致性
causal-consistency,因果一致性
CAP,CAP定理
BASE,BASE理论
two-phase-commit,两阶段提交
three-phase-commit,三阶段提交
SAGA,Saga模式
compensation,补偿
distributed-lock,分布式锁
distributed-transaction,分布式事务
consistency-hash,一致性哈希
virtual-node,虚拟节点
gossip-protocol,Gossip协议
vector-clock,向量时钟
Lamport-timestamp,Lamport时间戳
microservice,微服务
monolith,单体应用
service,服务
domain,领域
bounded-context,限界上下文
domain-driven,领域驱动设计
DDD,领域驱动设计
aggregate,聚合
entity,实体
value-object,值对象
API-gateway,API网关
service-mesh,服务网格
sidecar,边车模式
service-discovery,服务发现
service-registry,服务注册
health-check,健康检查
heartbeat,心跳
load-balancing,负载均衡
round-robin,轮询
least-connections,最少连接
weighted,加权
sticky-session,粘性会话
fallback,降级
graceful-degradation,优雅降级
API-versioning,API版本控制
backward-compatibility,向后兼容
contract,契约
canary-deployment,金丝雀部署
blue-green,蓝绿部署
rolling-update,滚动更新
feature-flag,特性开关
RPC,远程过程调用
REST,REST接口
GraphQL,GraphQL
gRPC,gRPC
protocol-buffer,协议缓冲
message-queue,消息队列
MQ,消息队列
producer,生产者
consumer,消费者
broker,代理
topic,主题
queue,队列
exchange,交换机
routing-key,路由键
binding,绑定
publish,发布
subscribe,订阅
pub-sub,发布订阅
point-to-point,点对点
push,推送
pull,拉取
offset,偏移量
acknowledgment,确认
ack,确认
nack,拒绝
at-least-once,至少一次
at-most-once,至多一次
exactly-once,精确一次
ordering,顺序
FIFO,先进先出
dead-letter,死信
poison-message,毒药消息
retry,重试
requeue,重新入队
TTL,生存时间
retention,保留期
Kafka,Kafka
partition,分区
partition-key,分区键
consumer-group,消费者组
rebalance,重平衡
ISR,同步副本集
RabbitMQ,RabbitMQ
AMQP,AMQP协议
vhost,虚拟主机
durable,持久化
cache,缓存
caching,缓存
Redis,Redis
Memcached,Memcached
in-memory,内存
key-value,键值
string,字符串
list,列表
set,集合
sorted-set,有序集合
hash,哈希
bitmap,位图
hyperloglog,HyperLogLog
persistence,持久化
RDB,RDB快照
AOF,AOF日志
snapshot,快照
replication,复制
sentinel,哨兵
cluster,集群
slot,槽
eviction,驱逐
LRU,最近最少使用
LFU,最不经常使用
TTL,过期时间
cache-aside,旁路缓存
read-through,读穿透
write-through,写穿透
write-back,写回
write-around,绕写
cache-penetration,缓存穿透
cache-avalanche,缓存雪崩
cache-breakdown,缓存击穿
cache-warming,缓存预热
cache-hit,缓存命中
cache-miss,缓存未命中
hit-rate,命中率
hotkey,热点键
big-key,大键
distributed-lock,分布式锁
TCP,传输控制协议
UDP,用户数据报协议
IP,网际协议
HTTP,超文本传输协议
HTTPS,安全超文本传输协议
SSL,安全套接字层
TLS,传输层安全
DNS,域名系统
socket,套接字
port,端口
endpoint,端点
request,请求
response,响应
GET,GET请求
POST,POST请求
PUT,PUT请求
DELETE,DELETE请求
PATCH,PATCH请求
status-code,状态码
200-OK,成功
201-Created,已创建
400-BadRequest,错误请求
401-Unauthorized,未授权
403-Forbidden,禁止访问
404-NotFound,未找到
500-InternalError,服务器错误
503-Unavailable,服务不可用
header,请求头
body,请求体
cookie,Cookie
session,会话
CORS,跨域资源共享
same-origin,同源策略
load-balancing,负载均衡
reverse-proxy,反向代理
forward-proxy,正向代理
CDN,内容分发网络
bandwidth,带宽
latency,延迟
throughput,吞吐量
process,进程
thread,线程
kernel,内核
user-space,用户空间
kernel-space,内核空间
system-call,系统调用
interrupt,中断
context-switch,上下文切换
scheduling,调度
scheduler,调度器
priority,优先级
preemption,抢占
time-slice,时间片
memory-management,内存管理
virtual-memory,虚拟内存
physical-memory,物理内存
paging,分页
segmentation,分段
page-fault,缺页错误
swapping,交换
thrashing,颠簸
fragmentation,碎片
file-system,文件系统
inode,索引节点
directory,目录
permission,权限
I/O,输入输出
buffer,缓冲区
DMA,直接内存访问
scalability,可扩展性
horizontal-scaling,水平扩展
vertical-scaling,垂直扩展
scale-out,横向扩展
scale-up,纵向扩展
elasticity,弹性
auto-scaling,自动扩展
load-shedding,负载削减
rate-limiting,速率限制
throttling,限流
token-bucket,令牌桶
leaky-bucket,漏桶
capacity-planning,容量规划
bottleneck,瓶颈
single-point-of-failure,单点故障
SPOF,单点故障
disaster-recovery,灾难恢复
backup,备份
restore,恢复
MVC,MVC模式
layered,分层架构
hexagonal,六边形架构
clean-architecture,整洁架构
event-driven,事件驱动
CQRS,命令查询分离
serverless,无服务器
FaaS,函数即服务
SOLID,SOLID原则
SRP,单一职责原则
OCP,开闭原则
LSP,里氏替换原则
ISP,接口隔离原则
DIP,依赖倒置原则
DRY,不要重复
KISS,保持简单
YAGNI,不需要就别做
loose-coupling,松耦合
high-cohesion,高内聚
separation-of-concerns,关注点分离
composition-over-inheritance,组合优于继承
singleton-pattern,单例模式
factory-pattern,工厂模式
builder-pattern,建造者模式
observer-pattern,观察者模式
strategy-pattern,策略模式
decorator-pattern,装饰器模式
adapter-pattern,适配器模式
proxy-pattern,代理模式
template-method,模板方法
command-pattern,命令模式
performance,性能
optimization,优化
profiling,性能分析
benchmarking,基准测试
QPS,每秒查询数
TPS,每秒事务数
RPS,每秒请求数
response-time,响应时间
latency,延迟
throughput,吞吐量
percentile,百分位
p50,50分位
p95,95分位
p99,99分位
p999,99.9分位
SLA,服务级别协议
SLO,服务级别目标
SLI,服务级别指标
uptime,正常运行时间
downtime,停机时间
MTBF,平均无故障时间
MTTR,平均修复时间
connection-pool,连接池
thread-pool,线程池
object-pooling,对象池
batching,批处理
debouncing,防抖
indexing,索引
compression,压缩
minification,最小化
lazy-loading,懒加载
eager-loading,饿加载
prefetching,预取
pagination,分页
DevOps,DevOps
CI/CD,持续集成持续部署
continuous-integration,持续集成
continuous-delivery,持续交付
continuous-deployment,持续部署
Docker,Docker
container,容器
image,镜像
Dockerfile,Dockerfile
layer,层
registry,镜像仓库
volume,卷
network,网络
docker-compose,Docker Compose
Kubernetes,Kubernetes
K8s,K8s
pod,Pod
deployment,部署
ReplicaSet,副本集
StatefulSet,有状态集
DaemonSet,守护集
service,服务
Ingress,入口
ConfigMap,配置映射
Secret,密钥
namespace,命名空间
HPA,水平Pod自动扩展
liveness-probe,存活探针
readiness-probe,就绪探针
Jenkins,Jenkins
pipeline,流水线
build,构建
deploy,部署
release,发布
rollback,回滚
monitoring,监控
observability,可观测性
logging,日志
tracing,追踪
metrics,指标
alert,告警
dashboard,仪表板
Prometheus,Prometheus
Grafana,Grafana
ELK,ELK栈
Elasticsearch,Elasticsearch
Logstash,Logstash
Kibana,Kibana
APM,应用性能监控
distributed-tracing,分布式追踪
span,跨度
trace-id,追踪ID
correlation-id,关联ID
log-aggregation,日志聚合
testing,测试
unit-test,单元测试
integration-test,集成测试
end-to-end,端到端测试
E2E,端到端测试
acceptance-test,验收测试
regression-test,回归测试
smoke-test,冒烟测试
sanity-test,健全性测试
performance-test,性能测试
load-test,负载测试
stress-test,压力测试
mock,模拟
stub,存根
spy,间谍
fake,伪造
fixture,测试夹具
assertion,断言
test-coverage,测试覆盖率
code-coverage,代码覆盖率
TDD,测试驱动开发
BDD,行为驱动开发
ATDD,验收测试驱动开发
given-when-then,给定当则
arrange-act-assert,准备执行断言
red-green-refactor,红绿重构
happy-path,正常路径
edge-case,边界情况
corner-case,极端情况
flaky,不稳定测试
security,安全
authentication,认证
authorization,授权
OAuth,OAuth
OAuth2,OAuth 2.0
OpenID,OpenID
SSO,单点登录
JWT,JWT令牌
token,令牌
access-token,访问令牌
refresh-token,刷新令牌
RBAC,基于角色访问控制
ABAC,基于属性访问控制
CSRF,跨站请求伪造
XSS,跨站脚本攻击
SQL-injection,SQL注入
encryption,加密
decryption,解密
hashing,哈希
salting,加盐
certificate,证书
public-key,公钥
private-key,私钥
symmetric,对称加密
asymmetric,非对称加密
AES,AES加密
RSA,RSA算法
SHA,SHA哈希
MD5,MD5哈希
HTTPS,HTTPS协议
TLS,传输层安全
SSL,安全套接字层
whitelist,白名单
blacklist,黑名单
penetration-testing,渗透测试
vulnerability,漏洞
zero-trust,零信任
agile,敏捷
scrum,Scrum
sprint,冲刺
kanban,看板
standup,站会
retrospective,回顾会议
backlog,待办事项
user-story,用户故事
epic,史诗
velocity,速度
code-review,代码审查
pull-request,拉取请求
merge-request,合并请求
pair-programming,结对编程
technical-debt,技术债务
refactoring,重构
clean-code,整洁代码
code-smell,代码异味
version-control,版本控制
git,Git
git-flow,Git工作流
branch,分支
feature-branch,功能分支
release-branch,发布分支
hotfix,热修复
merge,合并
rebase,变基
cherry-pick,精选
semantic-versioning,语义化版本
breaking-change,破坏性变更
deprecation,弃用
documentation,文档
API-documentation,API文档
